a	a	a	a
a	a	a	a
a	a	a	a
a capella	akapEla	a ca-pel-la	a-ka-pE-la
a cappella	akapEla	a cap-pel-la	a-ka-pE-la
a contrario	ak§tRaRjo	a con-tra-rio	a-k§-tRa-Rjo
a fortiori	afORsjoRi	a for-tio-ri	a-fOR-sjo-Ri
a giorno	adZjORno	a gior-no	ad-ZjOR-no
a jeun	aZ1	a jeun	a-Z1
a l'instar	al5staR	a l'ins-tar	a-l5s-taR
a posteriori	apOsteRjoRi	a pos-te-rio-ri	a-pOs-te-Rjo-Ri
a priori	apRijoRi	a prio-ri	a-pRi-jo-Ri
a priori	apRijoRi	a prio-ri	a-pRi-jo-Ri
aa	aa		a-a
ab absurdo	abapsuRdo	ab ab-sur-do	a-bap-suR-do
ab initio	abinisjo	ab i-ni-tio	a-bi-ni-sjo
ab ovo	abovo	ab o-vo	a-bo-vo
abaca	abaka		a-ba-ka
abaissa	abEsa	a-bais-sa	a-bE-sa
abaissai	abEsE	a-bais-sai	a-bE-sE
abaissaient	abEsE	a-bais-saient	a-bE-sE
abaissait	abEsE	a-bais-sait	a-bE-sE
abaissant	abEs@	a-bais-sant	a-bE-s@
abaissant	abEs@	a-bais-sant	a-bE-s@
abaissante	abEs@t		a-bE-s@t
abaisse	abEs	a-bais-se	a-bEs
abaisse	abEs	a-bais-se	a-bEs
abaisse-langue	abEsl@g	abaisse-langue	a-bE-sl@g
abaissement	abEs°m@	a-bais-se-ment	a-bE-s°-m@
abaissent	abEs	a-bais-sent	a-bEs
abaisser	abese	a-bais-ser	a-be-se
abaissera	abEs°Ra	a-bais-se-ra	a-bE-s°-Ra
abaisserai	abEs°RE	a-bais-se-rai	a-bE-s°-RE
abaisseraient	abEs°RE	a-bais-se-raient	a-bE-s°-RE
abaisserais	abEs°RE	a-bais-se-rais	a-bE-s°-RE
abaisserait	abEs°RE	a-bais-se-rait	a-bE-s°-RE
abaisses	abEs	a-bais-ses	a-bEs
abaissez	abEse	a-bais-sez	a-bE-se
abaissons	abEs§	a-bais-sons	a-bE-s§
abaissèrent	abEsER	a-bais-sè-rent	a-bE-sER
abaissé	abese	a-bais-sé	a-be-se
abaissé	abese	a-bais-sé	a-be-se
abaissée	abese	a-bais-sée	a-be-se
abaissée	abese	a-bais-sée	a-be-se
abaissées	abese	a-bais-sées	a-be-se
abaissées	abese	a-bais-sées	a-be-se
abaissés	abese	a-bais-sés	a-be-se
abaissés	abese	a-bais-sés	a-be-se
abalone	abalOn	a-ba-lo-ne	a-ba-lOn
abalones	abalOn	a-ba-lo-nes	a-ba-lOn
abandon	ab@d§	a-ban-don	a-b@-d§
abandonna	ab@dona	a-ban-don-na	a-b@-do-na
abandonnai	ab@donE	a-ban-don-nai	a-b@-do-nE
abandonnaient	ab@donE	a-ban-don-naient	a-b@-do-nE
abandonnais	ab@donE	a-ban-don-nais	a-b@-do-nE
abandonnait	ab@donE	a-ban-don-nait	a-b@-do-nE
abandonnant	ab@don@	a-ban-don-nant	a-b@-do-n@
abandonnas	ab@dona	a-ban-don-nas	a-b@-do-na
abandonne	ab@dOn	a-ban-don-ne	a-b@-dOn
abandonnent	ab@dOn	a-ban-don-nent	a-b@-dOn
abandonner	ab@done	a-ban-don-ner	a-b@-do-ne
abandonnera	ab@dOn°Ra	a-ban-don-ne-ra	a-b@-dO-n°-Ra
abandonnerai	ab@dOn°RE	a-ban-don-ne-rai	a-b@-dO-n°-RE
abandonneraient	ab@dOn°RE	a-ban-don-ne-raient	a-b@-dO-n°-RE
abandonnerais	ab@dOn°RE	a-ban-don-ne-rais	a-b@-dO-n°-RE
abandonnerait	ab@dOn°RE	a-ban-don-ne-rait	a-b@-dO-n°-RE
abandonneras	ab@dOn°Ra	a-ban-don-ne-ras	a-b@-dO-n°-Ra
abandonnerez	ab@dOn°Re	a-ban-don-ne-rez	a-b@-dO-n°-Re
abandonneriez	ab@dOn°Rje	a-ban-don-ne-riez	a-b@-dO-n°-Rje
abandonnerions	ab@dOn°Rj§	a-ban-don-ne-rions	a-b@-dO-n°-Rj§
abandonnerons	ab@dOn°R§	a-ban-don-ne-rons	a-b@-dO-n°-R§
abandonneront	ab@dOn°R§	a-ban-don-ne-ront	a-b@-dO-n°-R§
abandonnes	ab@dOn	a-ban-don-nes	a-b@-dOn
abandonneurs	ab@don9R	a-ban-don-neurs	a-b@-do-n9R
abandonnez	ab@done	a-ban-don-nez	a-b@-do-ne
abandonniez	ab@donje	a-ban-don-niez	a-b@-do-nje
abandonnions	ab@donj§	a-ban-don-nions	a-b@-do-nj§
abandonnique	ab@donik	a-ban-don-ni-que	a-b@-do-nik
abandonnons	ab@don§	a-ban-don-nons	a-b@-do-n§
abandonnâmes	ab@donam	a-ban-don-nâ-mes	a-b@-do-nam
abandonnât	ab@dona	a-ban-don-nât	a-b@-do-na
abandonnèrent	ab@donER	a-ban-don-nè-rent	a-b@-do-nER
abandonné	ab@done	a-ban-don-né	a-b@-do-ne
abandonné	ab@done	a-ban-don-né	a-b@-do-ne
abandonnée	ab@done	a-ban-don-née	a-b@-do-ne
abandonnée	ab@done	a-ban-don-née	a-b@-do-ne
abandonnées	ab@done	a-ban-don-nées	a-b@-do-ne
abandonnées	ab@done	a-ban-don-nées	a-b@-do-ne
abandonnés	ab@done	a-ban-don-nés	a-b@-do-ne
abandonnés	ab@done	a-ban-don-nés	a-b@-do-ne
abandons	ab@d§	a-ban-dons	a-b@-d§
abaque	abak	a-ba-que	a-bak
abasourdi	abazuRdi	a-ba-sour-di	a-ba-zuR-di
abasourdi	abazuRdi	a-ba-sour-di	a-ba-zuR-di
abasourdie	abazuRdi	a-ba-sour-die	a-ba-zuR-di
abasourdie	abazuRdi	a-ba-sour-die	a-ba-zuR-di
abasourdir	abazuRdiR	a-ba-sour-dir	a-ba-zuR-diR
abasourdis	abazuRdi	a-ba-sour-dis	a-ba-zuR-di
abasourdis	abazuRdi	a-ba-sour-dis	a-ba-zuR-di
abasourdissant	abazuRdis@		a-ba-zuR-di-s@
abasourdissants	abazuRdis@	a-ba-sour-dis-sants	a-ba-zuR-di-s@
abat	aba	a-bat	a-ba
abat	aba	a-bat	a-ba
abat-jour	abaZuR	abat-jour	a-ba-ZuR
abat-son	abas§	abat-son	a-ba-s§
abatage	abataZ	a-ba-ta-ge	a-ba-taZ
abatis	abati	a-ba-tis	a-ba-ti
abats	aba	a-bats	a-ba
abats	aba	a-bats	a-ba
abattage	abataZ	a-bat-ta-ge	a-ba-taZ
abattages	abataZ	a-bat-ta-ges	a-ba-taZ
abattaient	abatE	a-bat-taient	a-ba-tE
abattais	abatE	a-bat-tais	a-ba-tE
